Sample ID,Taxon,Taxon (Original),Island Name,Captive,Value,Isotope
11,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-40.4,dD
12,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-14.2,d13Ccol
12,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,12.6,d15N
12,Chelonoidis porteri,Geochelone porteri,Santa Cruz,Wild,-37.9,dD
43,Chelonoidis porteri,Geochelone elephantopus nigrita,Santa Cruz,Wild,-21.7,d13Ccol
43,Chelonoidis porteri,Geochelone elephantopus nigrita,Santa Cruz,Wild,11.9,d15N
43,Chelonoidis porteri,Geochelone elephantopus nigrita,Santa Cruz,Wild,-55.1,dD
53,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-14.1,d13Ccol
53,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,12.3,d15N
53,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-48.6,dD
54,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,-19,d13Ccol
54,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,11.1,d15N
54,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,-55.9,dD
55,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,-16.7,d13Ccol
55,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,11.8,d15N
55,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Zoo,-50.9,dD
56,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-18.8,d13Ccol
56,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,10.7,d15N
56,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-66.1,dD
57,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-16.5,d13Ccol
57,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,7,d15N
57,Chelonoidis porteri,Chelonoidis nigra porteri,Santa Cruz,Wild,-66.2,dD
